Temperature(K),Lambda_th[erg*cm**3/s]
1.3049019746909500E+08,1.9931426382364300E-23
1.4314589342261100E+08,2.0780534940154700E-23
1.5702901214527200E+08,2.1687522942946800E-23
1.7225859621437000E+08,2.2659748232278900E-23
1.8896523364595000E+08,2.3701340587665800E-23
2.0729217763935300E+08,2.4817557744703900E-23
2.2739657491919600E+08,2.6014885864988000E-23
2.4945081320849500E+08,2.7306088276487900E-23
2.7364399939609400E+08,2.8700831049695900E-23
3.0018358104922500E+08,3.0204927380044800E-23
3.2929712520430700E+08,3.1832244163139500E-23
3.6123426966888000E+08,3.3597334117849200E-23
3.9626886357176300E+08,3.5518081982842300E-23
4.3470131551636000E+08,3.7617822440421900E-23
4.7686116947869200E+08,3.9914624939462500E-23
5.2310993051650000E+08,4.2433925169199200E-23
5.7384416454446500E+08,4.5204642221199800E-23
6.2949889873986900E+08,4.8264155950568800E-23
