Temperature(K),Lambda_th[erg*cm**3/s]
1059560.1792776168,3.138706603708631e-20
1162322.4686798516,3.2609735057212993e-20
1275051.2407130126,3.3738580465464215e-20
1398713.1026472386,3.476933017476156e-20
1534368.4089300134,3.569258336955189e-20
1683180.3533309584,3.6508426422896683e-20
1846424.9428955424,3.721697363174759e-20
2025501.9392306667,3.7815598407219445e-20
2221946.8609395237,3.831065912814746e-20
2437444.1501222216,3.8707429796947414e-20
2673841.6158399493,3.900411447201999e-20
2933166.2783900425,3.9206205614019385e-20
3217641.7502507353,3.931923115276862e-20
3529707.3027306492,3.9345021095909335e-20
3872038.781812557,3.9289995920896134e-20
4247571.552536904,3.915960356425684e-20
4659525.668664676,3.8957529220788367e-20
5111433.483440165,3.868961911713446e-20
5607169.938205457,3.8362705031560176e-20
6150985.788580503,3.7980590182403596e-20
6747544.0531107,3.754782551263271e-20
7401959.996915637,3.707097663356272e-20
8119844.993184009,3.655422169776166e-20
8907354.638610438,3.600178165373297e-20
9771241.535346502,3.541888534350141e-20
10718913.192051286,3.480820400220091e-20
11758495.54052158,3.417382274633008e-20
12898902.612533081,3.352003645227275e-20
14149912.97434576,3.2849944158995036e-20
15522253.574270481,3.2166043946116643e-20
17027691.72225901,3.1471909064885814e-20
18679135.99020785,3.077005688448326e-20
20490746.89815846,3.0062429138134457e-20
22478058.33548725,2.935096710765307e-20
24658110.758226033,2.86371418823345e-20
27049597.304631364,2.792281034963609e-20
29673024.081888717,2.720929461822502e-20
32550885.998350568,2.6497772545283067e-20
35707859.64900462,2.5789427220697467e-20
39171014.9080926,2.5085196499404085e-20
42970047.043208435,2.438605417204959e-20
47137531.34116729,2.369323122940055e-20
51709202.42896755,2.3007257731010237e-20
56724260.684919775,2.2328783042522802e-20
62225708.36730232,2.1658987247313813e-20
68260718.34272394,2.0998376423777272e-20
74881038.57590029,2.0347542237744067e-20
82143435.84919421,1.9707618685563695e-20
90110182.51665018,1.907902503490471e-20
98849590.46625586,1.8462249114194237e-20
108436596.86896087,1.7858344944452806e-20
118953406.73703207,1.7267776618658607e-20
130490197.80144016,1.6690895722008244e-20
143145893.75234815,1.612867690816879e-20
157029012.4729377,1.5581536498777326e-20
172258596.5398784,1.5049592325726203e-20
188965233.96912116,1.453360663438377e-20
207292177.95953694,1.4033906395673976e-20
227396575.23579323,1.3550274843480463e-20
249450813.5230317,1.3083176548954313e-20
273643999.70746666,1.2632765973610161e-20
300183581.35755926,1.2198453422555105e-20
329297125.5097148,1.1780252101934192e-20
361234269.9709438,1.1378003420287013e-20
396268863.87014776,1.0990680718890956e-20
434701315.8125017,1.0617771187951035e-20
476861169.7714474,1.0258685827014423e-20
523109930.80562586,9.911906759637989e-21
573844164.8302404,9.576280725920218e-21
629498899.0221888,9.250671685966284e-21
690551352.0162315,8.933005740014495e-21
757525025.8771919,8.621511876741605e-21
830994194.9353421,8.314269762521e-21
911588829.9750835,8.00880516030528e-21
1000000000.0,7.70277758376067e-21
